1	ț’a	da'ak'	'shine (of sun)'	0.4
2	wíhhin	wik'	'2DU.VOC.IMPER'	0.5
4	sasá	shra:pa	'burn'	0.625
8	yɔuyimɛ́	yo'ke:	'return'	0.0
11	yɔ	yo:w	'go home'	0.5
13	káyu	ga:yal	'await?'	0.4
15	káyu	ga:yal	'await?'	0.4
18	hin	hi'	'FUT'	0.5
19	límka	laga:	'spend the night'	0.25
20	hí	hi'	'FUT'	0.5
22	yɔk̦	yo:w	'go home'	0.5
23	míhitáxanɛn	ma'an	'2PL.NOM'	0.0
24	'amá	'ama'	'3SG.NOM'	0.7
25	țan	ta:na	'go'	0.625
28	hin	hi'	'FUT'	0.5
29	táxnɛn	taxa:	'bring'	0.625
30	nihi	nitr'i	'press'	0.625
31	tukóoklam	dugogla:	'straighten'	0.5710000000000001
34	káy	k'ac'	'obsidian'	0.5
38	yimɛ̯́iṭ’a	yimil	'catch fish with the hand'	0.1
41	yimé̯	yiki	'fart'	0.25
46	hin	hi'	'FUT'	0.5
47	'ílk’au	'a:lat	'lick'	0.1
48	níhi	nitr'i	'press'	0.625
49	taxnɛn	taxa:	'bring'	0.625
51	'ama	'ama'	'3SG.NOM'	0.7
53	míkwa	makwa	'1DU.INCL.PRIM'	0.7
56	hin	hi'	'FUT'	0.5
57	ká	k'ac'	'obsidian'	0.5
59	yu	ya'	'go'	0.0
60	hoyɛn	ho:ye:	'send'	0.625
61	'ama	'ama'	'3SG.NOM'	0.7
63	míkwa	makwa	'1DU.INCL.PRIM'	0.7
64	mí	min	'2SG.GEN'	0.5
66	n	na'	'1SG.NOM'	0.0
68	líhmen	lihim	'run'	0.7
69	hí	hi'	'FUT'	0.5
71	yam	ya'	'go'	0.5
73	tapṭipin	t'apwiyi	'slap'	0.35700000000000004
74	taxínhin	tawin	'to become morning'	0.7
75	yimé	yiki	'fart'	0.25
78	'ílkau	'a:lat	'lick'	0.1
79	taxínhin	tawin	'to become morning'	0.7
81	hí	hi'	'FUT'	0.5
83	yam	ya'	'go'	0.5
87	'ɔ́hin	'op	'moon, a watch'	0.5
88	yíme	yiki	'fart'	0.25
92	ṭekní	tr'e:xi	'blacken s.o. with firesmoke'	0.25
94	sam	shra:pa	'burn'	0.25
95	xapwí	xapa'	'fly'	0.4
97	hin	hi'	'FUT'	0.5
98	lómtɔ	lo:l'o:	'leave behind, let go of, quit'	0.4
99	yɔ́utap’	ya'	'go'	0.0
100	yimé	yiki	'fart'	0.25
103	kitiúhin	gidiw	'surround'	0.7
104	'ílk’au	'a:lat	'lick'	0.1
106	ṭauxɔ́	draxa	'step over, take a step'	0.25
108	ɔ	'op	'moon, a watch'	0.5
109	kuti’ílik	gi'iy	'oppose'	0.0
111	ṭau	tr'ap	'bow used for hunting'	0.5
112	yɛhɛ́	yah	'hey!'	0.0
114	sinhin	shrunu	'plug, stuff up'	0.25
115	yimé	yiki	'fart'	0.25
119	hɔxúshun	huxus	'vomit'	0.1
120	manɛ́	mak'	'1DU.INCL.NOM'	0.0
123	lɔ́pṭɔ	lo:l'o:	'leave behind, let go of, quit'	0.4
127	yɔɔkɛxɔ́	yo'ke:	'return'	0.7
129	hin	hi'	'FUT'	0.5
130	mí	min	'2SG.GEN'	0.5
134	ṭ’auwísen	tr'aw'a	'win from'	0.1
135	yɔɔtáp’	ya'	'go'	0.0
136	káyu	ga:yal	'await?'	0.4
137	ṣil’ɛ́	shril'i	'see'	0.7
140	yɔɔpaṭ’	ye:bitr'	'lip'	0.4
144	talwuṭ’	ta:watr	'die'	0.4
148	ṭaúta’an	tr'adad	'lie on ones back'	0.0
150	límk’in	limi	'file'	0.625
154	ṭaútaan	tr'adad	'lie on ones back'	0.1
156	límk’in	limi	'file'	0.625
157	tapnɔ́	da:ba:	'try again (after you or others have failed before)'	0.25
159	ṭci	tr'e:xi	'blacken s.o. with firesmoke'	0.25
160	hí	hi'	'FUT'	0.5
162	yam	ya'	'go'	0.5
164	taxínhin	tawin	'to become morning'	0.7
167	tsáuhin	c'ak'	'blackbird'	0.5
168	pɔnɛ́	be:ni	'cook by burying in ashes'	0.25
171	lihímka	lihim	'run'	0.4
174	yá	ya'	'go'	0.5
176	n	na'	'1SG.NOM'	0.0
178	'á	'at'	'cut'	0.5
180	ni	nim	'1SG.GEN'	0.5
183	ṭnit	tra:nit	'that.SG.ABL'	0.7
185	ṣílá	s(hr)alap'	'shave, whittle'	0.4
187	n	na'	'1SG.NOM'	0.0
188	hɛi’hí	he'ca:	'tease (Newman 1944:104 has hec.c.aa, cf. Gamble 1994:78 note 2)'	0.1
190	yuk	ya'	'go'	0.0
191	té	de:yi	'take the lead, get in front'	0.25
193	yau	ya'	'go'	0.5
194	wálxu	walxo:	'pass'	0.7
197	té	de:yi	'take the lead, get in front'	0.25
199	yau	ya'	'go'	0.5
202	hin	hi'	'FUT'	0.5
205	nɛ́ɛu̯á	ne'ca:	'be sleepy'	0.4
207	hin	hi'	'FUT'	0.5
208	hitcí’yɔu	hic'e:y	'tighten'	0.0
209	lákli	laga:	'spend the night'	0.25
211	hí	hi'	'FUT'	0.5
213	yam	ya'	'go'	0.5
214	tsáuhin	c'ak'	'blackbird'	0.5
215	káyu	ga:yal	'await?'	0.4
216	taxínka	damna:	'try'	0.1
218	ṭí	drim	'condor'	0.5
220	mi	min	'2SG.GEN'	0.5
222	hi	hi'	'FUT'	0.5
224	yam	ya'	'go'	0.5
225	tapxɔ́	da:ba:	'try again (after you or others have failed before)'	0.25
228	ye	ya'	'go'	0.0
230	ṭ’au	tr'ap	'bow used for hunting'	0.5
232	mí	min	'2SG.GEN'	0.5
236	k’aṭ’lít’sa’	k'alassa'	'leg'	0.25
238	'áminɔ́	'amin	'3SG.GEN'	0.7
240	kun	kin	'this.SG.PRIM'	0.5
241	yɛt’	ya'	'go'	0.0
242	mí	min	'2SG.GEN'	0.5
244	naman	na'an	'1PL.EXCL.NOM'	0.7
245	k’áṭ’liṭṣa	gatr'la:	'fish with a hook and line'	0.4
246	hí	hi'	'FUT'	0.5
248	yam	ya'	'go'	0.5
250	tánhin	ta:na	'go'	0.625
251	waki	wik'	'2DU.VOC.IMPER'	0.0
252	'aminɔ́	'amin	'3SG.GEN'	0.7
254	kun	kin	'this.SG.PRIM'	0.5
255	waṭ’	wa	'however'	0.25
