Location	BaseForm	OriginalLemma	OriginalLemmaMeaning	OriginalConfidence	:	BaseForm	CorrectedLemma	CorrectedLemmaMeaning	CorrectedConfidence	Morphemes	Parse	Notes
Text 1, line 72	wáth'ak'ilits'	[unknown]	[unknown]	0.0%	:	wáth'ak'ilits'	wat'ak'il	'gather pine nuts'	100.0%	wat'ak'-il-ic'	pine.nut-MANIP-AGT	-
Text 1, line 103	'itapnitra	'itapnitra	'[name]'	0.0%	:	'itapnitra	'itpinitr	'[name]'	100.0%	'itapnitr-a	Mexican.PL-NOM	(For form, see Newman 1944:210 'Weak I-induced plural stem', confirmed with co-occurrence with plural trasin)
Text 1, line 193	'itapnitra	'itapnitra	'[name]'	0.0%	:	'itapnitra	'itpinitr	'[name]'	100.0%	'itapnitr-a	Mexican.PL-NOM	(For form, see Newman 1944:210 'Weak I-induced plural stem', confirmed with co-occurrence with plural trasin)
Text 1, line 276	wojlo	wo:yo	'be born'	50.0%	:	wojlo	woylo:	'to plant'	100.0%	woylo:-'	plant-FUT	(Meaning confirmed in Clark page 284; identified as verbal theme IB based on future use with mi'in here and forms in Clark)
Text 1, line 277	'alālu	[unknown]	[unknown]	0.0%	:	'alālu	'ala:lu'	'plow'	100.0%	-	-	(Context suggests noun 'plow', especially next to verb meaning 'to plant', form is exactly consistent with Spanish arado)
Text 1, line 289	'ipintriw	[unknown]	[unknown]	0.0%	:	'ipintriw	'itpinitr	'[name]'	100.0%	'itpinitr-iw	Mexican-LOC	(exact form unknown)
Text 1, line 305	'itpintriw	[unknown]	[unknown]	0.0%	:	'itpintriw	'itpinitr	'[name]'	100.0%	'itpinitr-iw	Mexican-LOC	(exact form unknown)
Text 1, line 307	posōlēt	[unknown]	[unknown]	0.0%	:	posōlēt	boso:le:	'make posole'	100.0%	poso:le:-it	make.posole-AOR.PASS	(See H reel 100, slide 428; H's citation form inferred to be future)
Text 1, line 345	'alalono	[unknown]	[unknown]	0.0%	:	'alalono	'ala:lu'	'plow'	100.0%	'ala:lo:-nu	plow-SEC	(Context suggests noun 'plow', form is exactly consistent with Spanish arado)
Text 3, line 367	ʃilit	shrilit'	'jump'	100.0%	:	ʃilit	shril'i	'see'	100.0%	shril'-it	see-PAST.PASSIVE	-
Text 3, line 366	'ama'	'ama'	'3SG.NOM'	100.0%	:	'ama'	'ama'	'and'	100.0%	-	-	-
Text 3, line 381	t'okojun	tuk'uyun	'jackrabbit'	100.0%	:	t'okojun	[unknown]	[unknown]	0.0%	-	-	(see Text 3, Line 293)
Text 4, line 12	jawli	yawa:l	'follow, pursue'	80.0%	:	jawli	ya:wil	'grass'	100.0%	-	-	-
Text 4, line 66	tr`ol	tr'o:lo	'peel'	80.0%	:	tr`ol~	-	-	-	-	-	- (join with line 67)
Text 4, line 67	tr`i	tri'	'house'	100.0%	:	tr`i	tro:litr	'ravine, river canyon'	100.0%	tro:litr-i	ravine-PRIM	-
Text 4, line 69	t`anaj	da:nay	'jimson weed'	50.0%	:	t`anaj	tana:'ey	'footprint'	100.0%	-	-	-
Text 4, line 85	thanaj	da:nay	'jimson weed'	50.0%	:	thanaj	tana:'ey	'footprint'	100.0%	-	-	-
