hijā'mi'	hiya:m'i'	'a long time ago'	100.0%	RB
jet'	ye:t'	'one'	100.0%	JJ
nō'no'	no:n'o'	'man'	100.0%	NN
hu'jwushun	huy'wus	'hurt accidentally'	100.0%	VB
'amin	'amin	'3SG.GEN'	100.0%	PN
mok`ji	mokiy'	'wife'	100.0%	NN
,	,	[punc]	100.0%	PU
t'ujhun	t'uyu	'shoot at, shoot'	100.0%	VB
tʃr`an	tran	'that.SG.PRIM'	100.0%	DT
mēnitʃr`aw	me:nitr'	'nurse itr'	100.0%	VB
.	.	[punc]	100.0%	PU
'ama'	'ama'	'and'	100.0%	PN
t`āwitʃr`in	ta:witr	'die'	100.0%	VB
.	.	[punc]	100.0%	PU
'ama'	'ama'	'and'	100.0%	PN
luk`lut`	luk'ul	'bury'	100.0%	VB
.	.	[punc]	100.0%	PU
'ama'	'ama'	'and'	100.0%	PN
t`ojnē'in	toyon	'be night'	100.0%	VB
tʃr`ah	tra	'that.SG.NOM'	100.0%	DT
nō'no'	no:n'o'	'man'	100.0%	NN
tʃr`an	tran	'that.SG.PRIM'	100.0%	DT
tʃr`aw	traw	'that.SG.LOC'	100.0%	DT
t`awetʃr`iw	ta:watr	'die'	100.0%	VB
tejlīsaqōhin	de:yil	'guard, watch (wait for)'	100.0%	VB
'amin	'amin	'3SG.GEN'	100.0%	PN
tʃr`ā'in	tra:'in	'that.SG.GEN'	100.0%	DT
t`awtʃr`ā'in	tawtra:	'kill tr'	100.0%	VB
mok`jin	mokiy'	'wife'	100.0%	NN
t`isa	tisi	'come out'	100.0%	VB
.	.	[punc]	100.0%	PU
ʃrōp`en	shro:pe:n	'three'	100.0%	JJ
t`o'jnō'in	toy'no'	'night'	100.0%	NN
tʃr`an	tran	'that.SG.PRIM'	100.0%	DT
tejlīsāhin	de:yil	'guard, watch (wait for)'	100.0%	VB
'amin	'amin	'3SG.GEN'	100.0%	PN
t`isa	tisi	'come out'	100.0%	VB
.	.	[punc]	100.0%	PU
'ama'	'ama'	'3SG.NOM'	100.0%	PN
t`ishin	tisi	'come out'	100.0%	VB
ʃrōp`ēnaw	shro:pe:n	'three'	100.0%	JJ
t`ojnow	toy'no'	'night'	100.0%	NN
.	.	[punc]	100.0%	PU
'ama'	'ama'	'and'	100.0%	PN
ts`anum	canum	'immediately'	100.0%	RB
t`anhin	ta:na	'go'	100.0%	VB
qosim	xosim	'north'	100.0%	NN
.	.	[punc]	100.0%	PU
'ama'	'ama'	'and'	100.0%	PN
'amin	'amin	'3SG.GEN'	100.0%	PN
tʃr`an	tran	'that.SG.PRIM'	100.0%	DT
ts`anum	canum	'immediately'	100.0%	RB
jawalhin	yawa:l	'follow, pursue'	100.0%	VB
p`ōlum	po:lum	'husband'	100.0%	NN
.	.	[punc]	100.0%	PU
'ama'	'ama'	'and'	100.0%	PN
t`o'jnō'in	toy'no'	'night'	100.0%	NN
p`anāt`aw	pana:	'arrive'	100.0%	VB
wits'ēt`aqo'	wic'e:ta	'turn into a log'	100.0%	VB
tʃr`a	tra	'that.SG.NOM'	100.0%	DT
t`a'wtʃr`a'	tawtra:	'kill tr'	100.0%	VB
.	.	[punc]	100.0%	PU
'ama'	'ama'	'and'	100.0%	PN
tʃr`an	tran	'that.SG.PRIM'	100.0%	DT
hētam	he:dam	'nearby'	100.0%	RB
tʃr`aw	traw	'that.SG.LOC'	100.0%	DT
