kujama'in	kujama'in	'[name]'	25.0%	NP
hunots'u	xuno:chru	'thither, yonder'	80.0%	RB
tr`aw	traw	'that.SG.LOC'	100.0%	DT
jokhots'	yokoc'	'person, people'	100.0%	NN
qo'qōhin	xo:	'live, exist, be'	100.0%	VB
,	,	[punc]	100.0%	PU
mani'	mani'	'many'	100.0%	JJ
jokhots'	yokoc'	'person, people'	100.0%	NN
waḵij	wakkiy	'very much, be very much'	100.0%	RB
,	,	[punc]	100.0%	PU
'ama'	'ama'	'and'	100.0%	PN
ponoj	bonoy	'two'	100.0%	VB
qo'qōhin	xo:	'live, exist, be'	100.0%	VB
nṓtsewas	no:chro'	'friend'	25.0%	NN
,	,	[punc]	100.0%	PU
'ama'	'ama'	'and'	100.0%	PN
qōni	xo:	'live, exist, be'	100.0%	VB
'amak'	'amak'	'3DU.NOM'	100.0%	PN
tr'awan'āhin	tr'aw'a	'win from'	80.0%	VB
'amāmaw	'amama	'same'	100.0%	JJ
qaja'liw	hay'al	'day'	100.0%	NN
,	,	[punc]	100.0%	PU
'ama'	'ama'	'and'	100.0%	PN
hīm	hiyam	'already, now'	25.0%	RB
'aminkin	'amingin	'3DU.GEN'	100.0%	PN
'ohom	'ohom	'NEG'	100.0%	RB
há'uk	ha'uk	'what.NOM'	100.0%	PN
kojunalis	[unknown]	'[unknown]'	0.0%	UN
,	,	[punc]	100.0%	PU
hū́trū́wsaqo'	hutr'u	'cook bread in ashes'	25.0%	VB
,	,	[punc]	100.0%	PU
'ama'	'ama'	'and'	100.0%	PN
ti	di'	'with a little doubt'	100.0%	RB
'amak'	'amak'	'3DU.NOM'	100.0%	PN
ni'wo	ni'e:w	'come late'	100.0%	VB
wīhin	wiyi	'say, do'	100.0%	VB
tr`a'aʃ	tra'ashr	'continuously'	100.0%	RB
'insis	'insis	'good'	100.0%	JJ
'amā%	'ama'	'and'	50.0%	PN
mak	'amak'	'3DU.PRIM'	50.0%	PN
thahan	ta:na	'go'	100.0%	VB
,	,	[punc]	100.0%	PU
'ama'	'ama'	'and'	100.0%	PN
ti'	di'	'with a little doubt'	100.0%	RB
'amak'	'amak'	'3DU.NOM'	100.0%	PN
trānit	tra:nit	'that.SG.ABL'	100.0%	DT
thánhin	ta:na	'go'	100.0%	VB
,	,	[punc]	100.0%	PU
tsawsiṯhin	cawa	'shout'	100.0%	VB
mimjatr	mimyatr	'thunder'	100.0%	NN
,	,	[punc]	100.0%	PU
'ama'	'ama'	'and'	100.0%	PN
tap	dab	'next, on the other hand, then'	100.0%	RB
ts`anum	canum	'immediately'	100.0%	RB
thaqhinhin	taxa:	'bring'	100.0%	VB
,	,	[punc]	100.0%	PU
mi'n	mi'in	'soon'	100.0%	RB
tap	dab	'next, on the other hand, then'	100.0%	RB
ʃe'el	she'el	'rain'	100.0%	VB
taqnin	taxa:	'bring'	100.0%	VB
,	,	[punc]	100.0%	PU
