kapulal	kapulal	'caporal'	100.0%
jow	yow	'and, also, again'	100.0%
k'ulumts'aj	k'ulumc'ay	'[name]'	100.0%
p`anāhin	pana:	'arrive'	100.0%
nimōkun	nimo:gun	'1PL.EXCL.GEN'	100.0%
'amak'	'amak'	'3DU.NOM'	100.0%
tʃr`ew	tri'	'house'	100.0%
t`inliw	tinel	'hole'	100.0%
'ama'	'ama'	'and'	100.0%
nan	nan	'1SG.PRIM'	100.0%
'amak'	'amak'	'3DU.NOM'	100.0%
wīhin	wiyi	'say, do'	100.0%
.	.	[punc]	100.0%
k`isin	kisin	'this.PL.NOM'	100.0%
qōsi'ma	xosim	'north'	100.0%
te'eʃr'an	di'ishr	'repair, make'	75.0%
ma'jek`	may'e:k	'big'	100.0%
lownīsa	lowo:niws'	'hold a feast?'	50.0%
'alt`aw	'a:lit	'salt-grass'	100.0%
.	.	[punc]	100.0%
wijā'an	wiyi	'say, do'	100.0%
'amak'	'amak'	'3DU.NOM'	100.0%
ʃri'len	shril'i	'see'	100.0%
ti'	di'	'with a little doubt'	100.0%
maj	may	'1PL.INCL.NOM'	100.0%
hi'	hi'	'FUT'	100.0%
majin	ma:yin	'1PL.INCL.GEN'	100.0%
t`a'wtʃr`ā'in	tawtra:	'kill tr'	100.0%
nop`ōp`o	nopop	'father'	100.0%
jow	yow	'and, also, again'	100.0%
no'ōmo	no'om	'mother'	100.0%
ne'ēsi	ne'eshr	'younger brother'	100.0%
jow	yow	'and, also, again'	100.0%
mājin	ma:yin	'1PL.INCL.GEN'	100.0%
no'ōt'u	no'od	'younger sister'	100.0%
.	.	[punc]	100.0%
jah%	yah	'hey!'	100.0%
maj	may	'1PL.INCL.NOM'	100.0%
.	.	[punc]	100.0%
'ohom	'ohom	'NEG'	100.0%
na'	na'	'1SG.NOM'	100.0%
t`anat`inqōhin	ta:na	'go'	80.0%
wilʃrin	wilshrin	'but, in spite of that'	100.0%
tumas	dumas	'[name]'	100.0%
tāpa'	da:ba'	'then, next'	100.0%
t`anat`inqōhin	ta:na	'go'	100.0%
.	.	[punc]	100.0%
qo'qōhin	xo:	'live, exist, be'	100.0%
nimōkun	nimo:gun	'1PL.EXCL.GEN'	100.0%
'insis	'insis'	'do well'	50.0%
wojil	[unknown]	'[unknown]'	0.0%
,	,	[punc]	100.0%
jow	yow	'and, also, again'	100.0%
nimōkun	nimo:gun	'1PL.EXCL.GEN'	100.0%
tʃr`ew	tri'	'house'	100.0%
qo'qōhin	xo:	'live, exist, be'	100.0%
mani'	mani'	'much, many'	100.0%
tiliwu	[unknown]	'[unknown]'	0.0%
.	.	[punc]	100.0%
jow	yow	'and, also, again'	100.0%
mani'	mani'	'much, many'	100.0%
nimōkun	nimo:gun	'1PL.EXCL.GEN'	100.0%
qat`	xat	'food'	100.0%
.	.	[punc]	100.0%
t`anat`inqō	ta:na	'go'	100.0%
na'	na'	'1SG.NOM'	100.0%
wijā'an	wiyi	'say, do'	100.0%
tumas	dumas	'[name]'	100.0%
,	,	[punc]	100.0%
wilʃrin	wilshrin	'but, in spite of that'	100.0%
maj	may	'1PL.INCL.NOM'	100.0%
jow	yow	'and, also, again'	100.0%
hi'	hi'	'FUT'	100.0%
jo'wk`i'	yo'ke:	'return'	100.0%
.	.	[punc]	100.0%
'ōma	'o:ma	'first (in series)'	100.0%
t`o'jnē'in	toy'no'	'night'	80.0%
na'an	na'an	'1PL.EXCL.NOM'	100.0%
lakāhin	laga:	'spend the night'	100.0%
kumantṣ`ew	[unknown]	'[unknown]'	0.0%
.	.	[punc]	100.0%
t`awimi	tawin	'to become morning'	100.0%
ni'wow	ni'wow	'(in) evening'	100.0%
na'an	na'an	'1PL.EXCL.NOM'	100.0%
p`anāhin	pana:	'arrive'	100.0%
'alt`aw	'a:lit	'salt-grass'	100.0%
.	.	[punc]	100.0%
wijā'atʃr`	wiyi	'say, do'	100.0%
nan	nan	'1SG.PRIM'	100.0%
'ahmun%	'ahmun	'it is to be expected that'	100.0%
ti'	di'	'with a little doubt'	100.0%
tʃr`ip`ni'	tripni'	'one endowed with magic powers'	100.0%
tʃr`a	tra	'that.SG.NOM'	100.0%
qo'qōhin	xo:	'live, exist, be'	100.0%
'alt`aw	'a:lat	'lick'	70.0%
.	.	[punc]	100.0%
p`anāhin	pana:	'arrive'	100.0%
nan	na'an	'1PL.EXCL.NOM'	100.0%
tʃr`aw	traw	'that.SG.LOC'	100.0%
kitaq	gidax	'unexpectedly'	100.0%
tʃr`aw	traw	'that.SG.LOC'	100.0%
'ohom	'ohom	'NEG'	100.0%
watuk`	watuk	'who.NOM'	100.0%
.	.	[punc]	100.0%
'ama'	'ama'	'and'	100.0%
tʃr`ānit`	tra:nit	'that.SG.ABL'	100.0%
na'an	na'an	'1PL.EXCL.NOM'	100.0%
t`anhin	ta:na	'go'	100.0%
k'o'lpōpow	k'olpo:po'	'wild gourd'	100.0%
.	.	[punc]	100.0%
'ama'	'ama'	'and'	100.0%
tʃr`aw	traw	'that.SG.LOC'	100.0%
hat`am'āhin	ha:tam	'dance'	100.0%
mani'	mani'	'much, many'	100.0%
jok`ots'	yokoc'	'person, people'	100.0%
naj	nay	'nearly, more than'	100.0%
hitʃr'waja'	hitr'wa:yu'	'devil'	25.0%
.	.	[punc]	100.0% [continue here]
suwastjāna'	shruyna:/	'buy'	0.0%
tʃr`aw	traw	'that.SG.LOC'	100.0%
qo'qōhin	xo:	'live, exist, be'	25.0%
mani'	mani'	'much, many'	100.0%
'amin	'amin	'3SG.GEN'	100.0%
lilna'	lil'na'	'money, bead, general term'	78.6%
walatʃr`	wala:tr	'have around ones neck'	100.0%
.	.	[punc]	100.0%
ma'jek`	ma'ak'	'2DU.NOM'	40.0%
'amnōkun	'amino:gun	'3PL.GEN'	83.3%
hot'ōni'	hot'o:ne:	'build a fire'	50.0%
t`ojnew	t'inew	'notch'	40.0%
'ama'	'ama'	'3SG.NOM'	100.0%
tʃr`aw	traw	'if'	100.0%
'aman	'aman	'3PL.NOM'	100.0%
hat`am'an	ha:tam	'dance'	10.0%
kitiwmi	gidiw	'surround'	40.0%
tʃr`an	tran	'that.SG.PRIM'	100.0%
'oʃrt`o	'oshrot	'to handle fire'	40.0%
.	.	[punc]	100.0%
tʃr`aw	traw	'if'	100.0%
'aman	'aman	'3PL.NOM'	100.0%
hat`am'āhin	ha:tam	'dance'	40.0%
jet'	ye:t'	'one'	100.0%
simānā'in	sina:la:	'cause s.o. to receive sth'	25.0%
,	,	[punc]	100.0%
t`o'jnow	do'o	'touch with the penis'	0.0%
jow	yo:w	'go home'	100.0%
ha'jlaw	ha'traw	'what.supposed.NOM'	50.0%
.	.	[punc]	100.0%
'ama'	'ama'	'3SG.NOM'	100.0%
nan	nan	'1SG.PRIM'	100.0%
'aman	'aman	'3PL.NOM'	100.0%
wijā'an	wa:'al	'breakfast'	10.0%
ʃrutok'	shrudo:k'	'remove'	70.0%
'amin	'amin	'3SG.GEN'	100.0%
k'umajhā'in	k'umayha'	'clothes'	100.0%
'ama'	'ama'	'3SG.NOM'	100.0%
ma'	ma'	'2SG.NOM'	100.0%
'ēp`en	'e:pi	'swim'	25.0%
'ama'	'ama'	'3SG.NOM'	100.0%
ma'	ma'	'2SG.NOM'	100.0%
ʃri'len	shri'e:l	'rain'	40.0%
t`iqt`an	text-in/	'become ill, sore'	50.0%
wāt`inuk	wa:tinuk	'who.GEN'	100.0%
polt`aw	po:lut	'body'	70.0%
.	.	[punc]	100.0%
'ohom	'ohom	'NEG'	100.0%
hawjēno'uk	hawye:no'uk	'what.kind.SEC'	100.0%
nihi'	nihi'	'1SG.NOM FUT'	100.0%
'ēp`en	'e:pi	'swim'	25.0%
.	.	[punc]	100.0%
wijā'an	wa:'al	'breakfast'	10.0%
na'	na'	'1SG.NOM'	100.0%
.	.	[punc]	100.0%
qitʃr`ew'an	xitriw	'become angry'	0.0%
na'	na'	'1SG.NOM'	100.0%
'amāmin	'amam	'3SG.PRIM'	100.0%
wa	wa	'however'	100.0%
me'itṣ`i'	me'zhi'	'because'	75.0%
na'	na'	'1SG.NOM'	100.0%
jow	yo:w	'go home'	100.0%
k`i	ki	'when'	100.0%
'ohjoqōhin	'ohyo:	'want, look for (YT has root ?oyoxo)'	100.0%
tiqōnaw	dil'naw	'on the other side of'	57.1%
.	.	[punc]	100.0%
tiqōnaw	dil'naw	'on the other side of'	57.1%
nim	nim	'1SG.GEN'	100.0%
sanlīja'	sanli:ya'	'watermelon'	100.0%
hijam	hiyam	'already, now'	100.0%
jētʃr'aw	ye:tr'aw	'all'	70.0%
hiʃra'āhin	hina'	'perhaps, maybe'	10.0%
