hijā'mi'	hiya:m'i'	'a long time ago'	100.0%
jet'	ye:t'	'one'	100.0%
nō'no'	no:n'o'	'man'	100.0%
hu'jwushun	huy'wus	'hurt accidentally'	100.0%
'amin	'amin	'3SG.GEN'	100.0%
mok`ji	mokiy'	'wife'	100.0%
,	,	[punc]	100.0%
t'ujhun	t'uyu	'shoot at, shoot'	100.0%
tʃr`an	tran	'that.SG.PRIM'	100.0%
mēnitʃr`aw	me:nitr'	'nurse itr'	100.0%
.	.	[punc]	100.0%
'ama'	'ama'	'and'	100.0%
t`āwitʃr`in	ta:witr	'die'	100.0%
.	.	[punc]	100.0%
'ama'	'ama'	'and'	100.0%
luk`lut`	luk'ul	'bury'	100.0%
.	.	[punc]	100.0%
'ama'	'ama'	'and'	100.0%
t`ojnē'in	toyon	'be night'	100.0%
tʃr`ah	tra	'that.SG.NOM'	100.0%
nō'no'	no:n'o'	'man'	100.0%
tʃr`an	tran	'that.SG.PRIM'	100.0%
tʃr`aw	traw	'that.SG.LOC'	100.0%
t`awetʃr`iw	ta:watr	'die'	100.0%
tejlīsaqōhin	de:yil	'guard, watch (wait for)'	100.0%
'amin	'amin	'3SG.GEN'	100.0%
tʃr`ā'in	tra:'in	'that.SG.GEN'	100.0%
t`awtʃr`ā'in	tawtra:	'kill tr'	100.0%
mok`jin	mokiy'	'wife'	100.0%
t`isa	tisi	'come out'	100.0%
.	.	[punc]	100.0%
ʃrōp`en	shro:pe:n	'three'	100.0%
t`o'jnō'in	toy'no'	'night'	100.0%
tʃr`an	tran	'that.SG.PRIM'	100.0%
tejlīsāhin	de:yil	'guard, watch (wait for)'	100.0%
'amin	'amin	'3SG.GEN'	100.0%
t`isa	tisi	'come out'	100.0%
.	.	[punc]	100.0%
'ama'	'ama'	'3SG.NOM'	100.0%
t`ishin	tisi	'come out'	100.0%
ʃrōp`ēnaw	shro:pe:n	'three'	100.0%
t`ojnow	toy'no'	'night'	100.0%
.	.	[punc]	100.0%
'ama'	'ama'	'and'	100.0%
